timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,neff,update_time_ms
26.02,0.14177645433007993,-0.2274045449907578,-1.9501693834579725,-0.549688,0.005984,-1.587942,0.7297899043799511,1000,863.2233203548356,1442.5134658813477
26.12,0.13913109623590506,-0.23322286408919937,-1.9498257520829492,-0.549946,-0.009013,-1.587942,0.7246359828988649,1000,861.6979240045175,1505.1839351654053
26.22,0.13706315385169252,-0.2386424805833944,-1.9458732465981035,-0.550203,-0.024011,-1.587942,0.7200009990878612,1000,862.1197478726979,1486.9914054870605
26.32,0.13433543198248302,-0.24436377380181434,-1.9473633744934433,-0.55046,-0.039009,-1.587942,0.7149233293069053,1000,858.7801213264436,1435.556411743164
26.42,0.1321473966033854,-0.24957350304951034,-1.9462970326427405,-0.550717,-0.054007,-1.587942,0.7103168597629651,1000,856.1048206945175,1439.6755695343018
26.52,0.12961155376748534,-0.25506744678247534,-1.944040447440409,-0.550974,-0.069005,-1.587942,0.7055607203491958,1000,854.937317477397,1431.2288761138916
26.62,0.1270559694752617,-0.25013695001144276,-1.9208741313052775,-0.551114,-0.079101,-1.558446,0.6994053214655963,1000,797.5227843821804,1437.5884532928467
26.72,0.08433608595597301,-0.21650098471197377,-1.9441735705285734,-0.551109,-0.079108,-1.468275,0.650128671505617,1000,549.8437609513959,1433.0928325653076
26.82,0.09006161618241477,-0.2364771245990303,-1.9400307417436438,-0.550228,-0.084348,-1.406521,0.6581140198645608,1000,763.9192394266696,1391.2713527679443
26.92,0.08785347035511422,-0.2435978811586741,-1.9384001694855042,-0.547769,-0.099157,-1.40654,0.6518275024653626,1000,759.2468181021417,1407.2701930999756
27.02,0.08503746472192254,-0.2501147604906586,-1.9378265946711866,-0.545316,-0.113958,-1.406549,0.6448908077451893,1000,760.6052098656118,1402.5204181671143
27.12,0.08515676853747134,-0.2574512840983418,-1.8753387406841189,-0.544709,-0.117809,-1.338398,0.6451595569186752,1000,619.1398042839045,1419.5199012756348
27.22,0.09379692166002439,-0.2705757855847453,-1.780316972870905,-0.544706,-0.117789,-1.248328,0.6565285849204939,1000,440.18444631527666,1455.6114673614502
27.32,0.20847994447214843,-0.2956613626716519,-1.822887494065627,-0.544701,-0.11777,-1.158247,0.7739036581055388,1000,495.89652014087306,1450.321912765503
27.42,0.2329780479365755,-0.2489996238442937,-1.814233620283504,-0.544696,-0.117755,-1.06821,0.7886710823417384,1000,691.2754486248093,1399.0657329559326
27.52,0.28317924126753957,-0.22936337691354983,-1.745488254616209,-0.544691,-0.117743,-0.978207,0.8353611464023791,1000,470.8105227440466,1438.0378723144531
27.62,0.33113687577854845,-0.17551506093904518,-1.7332639141620894,-0.544686,-0.117732,-0.888226,0.8777269460763365,1000,617.4059416158179,1431.1587810516357
27.72,0.3041291515759844,-0.13099084706850725,-1.6036595327947318,-0.544681,-0.117722,-0.79826,0.8489138564783667,1000,523.5372431190041,1443.7251091003418
27.82,0.3241410593647782,-0.09846515668615646,-1.5712952943017353,-0.538298,-0.123791,-0.760015,0.862810830632973,1000,826.8476327401032,1383.2650184631348
27.92,0.3237332365311313,-0.1108003444709115,-1.5735297284500618,-0.52742,-0.134133,-0.760041,0.8514729854032123,1000,827.108299758678,1382.6193809509277
28.02,0.3230191381435101,-0.1227808067468536,-1.5731998482226293,-0.516546,-0.144471,-0.760047,0.8398452748389372,1000,826.8381449990923,1386.9669437408447
28.12,0.3230811194744352,-0.13417308592405933,-1.5713403423396417,-0.505674,-0.154806,-0.760049,0.8290119210230636,1000,824.0281427103148,1450.063943862915
28.22,0.31722800981360044,-0.12303079971165107,-1.5038524131539046,-0.501064,-0.159183,-0.706193,0.8190902239133796,1000,761.3042618646323,1411.318302154541
28.32,0.24879117413711188,0.1265859127276612,-1.4498297921381742,-0.501068,-0.15917,-0.616223,0.8024619758570559,1000,498.13608915439494,1473.6413955688477
28.42,0.2414906067252434,0.16879042994347584,-1.35767169747586,-0.501067,-0.159158,-0.526252,0.8117524080702885,1000,907.4321228095871,1480.231761932373
28.52,0.23858951779681956,0.17160807176266057,-1.3171949954803195,-0.493619,-0.163394,-0.490217,0.8052053785336324,1000,890.1850711704967,1427.560806274414
28.62,0.24101537016933428,0.16135379363731772,-1.3164479894431216,-0.480378,-0.170463,-0.490238,0.7940470886943799,1000,888.8550706077632,1451.1082172393799
28.72,0.23167100386145334,0.1744740273360239,-1.2363311856614374,-0.477301,-0.171885,-0.418325,0.7890537865548084,1000,855.593965892476,1481.5387725830078
28.82,0.17344005490430708,0.1905530538936779,-1.1675628173749004,-0.477306,-0.171875,-0.328368,0.744865439004038,1000,664.4946197286919,1429.0711879730225
28.92,0.13200817437483464,0.20187988958055367,-1.0790265895507152,-0.477307,-0.171865,-0.238422,0.7148078232721123,1000,556.2972058528122,1451.5063762664795
29.02,0.11192158253234966,0.2264782719248817,-1.0143297982367923,-0.475,-0.172266,-0.158996,0.7095589745998437,1000,900.3043225640585,1433.7351322174072
29.12,0.11783227694186142,0.21684998520084445,-1.0139643682058395,-0.460175,-0.17464,-0.159031,0.6981094618398342,1000,900.1086191776249,1425.1008033752441
29.22,0.12301154749376633,0.2074791088509313,-1.0136450608639118,-0.445359,-0.177016,-0.159039,0.6862081083670268,1000,898.8266772236435,1428.5080432891846
29.32,0.1291099051722811,0.19850433819376484,-1.0140765862284629,-0.430546,-0.179393,-0.159043,0.6752933661810532,1000,897.5027394508477,1401.4413356781006
29.42,0.11437679124469362,0.19708646101513438,-0.931426947871349,-0.426722,-0.179907,-0.09045,0.6594785603297793,1000,866.1634263500025,1427.5922775268555
29.52,0.08000211993433884,0.2036892504754132,-0.8229240662911685,-0.42673,-0.1799,-0.000504,0.6355455565523517,1000,774.1066497756581,1401.6876220703125
29.62,0.0718735787191836,0.19642571674203693,-0.7845105411291399,-0.418575,-0.179539,0.044968,0.6179719059978271,1000,743.7411785688168,1392.5223350524902
29.72,0.07922085758440388,0.1886456484416667,-0.7827017069662341,-0.403581,-0.178861,0.044945,0.6067608839862518,1000,743.3607982542111,1411.5221500396729
29.82,0.08656507010790865,0.18134324824114637,-0.7848693594047321,-0.388593,-0.178187,0.044937,0.5958499735579524,1000,739.9503218753749,1433.8033199310303
29.92,0.09359629172084928,0.1739187798649216,-0.7828566239182303,-0.373608,-0.177513,0.044935,0.5846230803700853,1000,737.6361359816824,1404.1833877563477
30.02,0.10024328371927183,0.1666353146059736,-0.7829356095171586,-0.358622,-0.17684,0.044935,0.5731776690926125,1000,734.0885617118446,1442.2597885131836
30.12,0.10857957338849376,0.1594570913515875,-0.7827006355254981,-0.343637,-0.176166,0.044935,0.5631542317124386,1000,735.4271885658394,1406.8925380706787
30.22,0.11435727685267857,0.15209982120261423,-0.7815514419897535,-0.328652,-0.175492,0.044935,0.5509751543367257,1000,729.3567347727496,1422.2345352172852
30.32,0.12184957408351696,0.14471167645379143,-0.7804364071585771,-0.313668,-0.174818,0.044935,0.5401618011950274,1000,727.5328023162273,1402.2560119628906
30.42,0.12978722930493378,0.13690444596864013,-0.7825004510438744,-0.298683,-0.174145,0.044935,0.5294700135399742,1000,728.1709068397347,1400.615930557251
30.52,0.13709138017001646,0.12968840949417196,-0.7813687856237292,-0.283698,-0.173471,0.044935,0.5186225313546662,1000,725.6625856031986,1421.485185623169
30.62,0.14299759697069156,0.12221469739607042,-0.7805344093255528,-0.268713,-0.172797,0.044935,0.506495327972997,1000,720.9360737990576,1418.522834777832
30.72,0.1508130882866227,0.11476901022609931,-0.7825375016833257,-0.253728,-0.172123,0.044935,0.4959440670516156,1000,719.7215412444871,1466.8424129486084
