timestamp,range_0,range_32,range_64,range_96,range_128,range_160,range_192,range_224,range_256,range_288,range_320,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
54.700,0.532566,0.246569,0.209775,0.228732,0.407502,0.992756,1.186197,1.394228,1.304932,0.810846,0.536586,0.527429,-0.414148,-0.053507,1.340584,0.000000,-1.000000,-0.529927,-0.212622,1.193294
54.720,0.521002,0.251681,0.215521,0.241766,0.431867,0.992206,1.216266,1.371854,1.303385,0.772171,0.530859,0.528360,-0.414148,-0.053507,1.319860,0.000000,-1.000000,-0.529926,-0.212626,1.175280
54.740,0.501840,0.245163,0.206421,0.239342,0.454320,0.998840,1.229846,1.368064,1.311488,0.758797,0.518221,0.524870,-0.414148,-0.053507,1.299136,0.000000,-1.000000,-0.529925,-0.212630,1.157265
54.760,0.476173,0.236021,0.204684,0.244152,0.462826,0.998721,1.247239,1.366525,1.317077,0.737301,0.521344,0.529977,-0.414177,-0.053607,1.279707,0.150000,0.000000,-0.529924,-0.212634,1.139252
54.780,0.470256,0.249794,0.206117,0.244072,0.466704,0.989925,1.241608,1.371902,1.314447,0.742407,0.526922,0.536205,-0.413285,-0.050629,1.279707,0.150000,0.000000,-0.528815,-0.210229,1.135251
54.800,0.490326,0.248958,0.213150,0.250626,0.468173,0.997367,1.236744,1.386353,1.316832,0.742494,0.527864,0.538094,-0.412452,-0.047850,1.279707,0.150000,0.000000,-0.527547,-0.207506,1.135251
54.820,0.476524,0.238494,0.213649,0.243913,0.478247,0.992066,1.238391,1.387692,1.307094,0.760552,0.539539,0.545630,-0.411560,-0.044872,1.279707,0.150000,0.000000,-0.526279,-0.204784,1.135254
54.840,0.492848,0.258548,0.221487,0.248576,0.477355,0.984318,1.237022,1.366454,1.312191,0.754792,0.541941,0.544143,-0.410727,-0.042093,1.279707,0.150000,0.000000,-0.525012,-0.202062,1.135258
54.860,0.489988,0.252133,0.213813,0.251585,0.481162,0.988082,1.241276,1.368311,1.317134,0.762031,0.538616,0.541143,-0.409835,-0.039115,1.279707,0.150000,0.000000,-0.523746,-0.199340,1.135262
54.880,0.489489,0.239865,0.214315,0.250043,0.477595,0.974566,1.235087,1.360299,1.308374,0.761418,0.541281,0.552447,-0.409003,-0.036336,1.279707,0.150000,0.000000,-0.522479,-0.196619,1.135266
54.900,0.495957,0.257850,0.217538,0.261508,0.485485,0.974878,1.226255,1.364367,1.299795,0.766572,0.550260,0.549058,-0.408111,-0.033358,1.279707,0.150000,0.000000,-0.521213,-0.193898,1.135269
54.920,0.498108,0.257708,0.224023,0.243924,0.489307,0.984062,1.222473,1.357800,1.303989,0.770790,0.547488,0.553576,-0.407278,-0.030578,1.279707,0.150000,0.000000,-0.519947,-0.191177,1.135271
54.940,0.503199,0.261746,0.218280,0.244488,0.475519,0.969654,1.222891,1.348206,1.298298,0.771968,0.552749,0.561788,-0.406386,-0.027601,1.279707,0.150000,0.000000,-0.518681,-0.188456,1.135273
54.960,0.511445,0.249134,0.218599,0.262552,0.492026,0.966864,1.212126,1.355410,1.305467,0.780734,0.560725,0.556119,-0.405553,-0.024821,1.279707,0.000000,-1.000000,-0.517415,-0.185735,1.135274
54.980,0.481008,0.255448,0.225184,0.269980,0.514630,0.974102,1.228650,1.344495,1.300056,0.779295,0.547202,0.557435,-0.405553,-0.024821,1.258983,0.000000,-1.000000,-0.517215,-0.185305,1.119470
55.000,0.469939,0.260172,0.210315,0.269941,0.528459,0.973597,1.248838,1.339248,1.319965,0.761770,0.554627,0.566484,-0.405520,-0.024723,1.239554,0.000000,-1.000000,-0.517182,-0.185238,1.100590
55.020,0.456400,0.249314,0.224491,0.261871,0.549318,0.976913,1.260621,1.327632,1.325281,0.754771,0.546023,0.567128,-0.405555,-0.024821,1.220126,0.000000,-1.000000,-0.517182,-0.185241,1.082601
55.040,0.438814,0.248205,0.223003,0.269006,0.576460,0.973780,1.292420,1.320084,1.329802,0.727251,0.543775,0.577311,-0.405555,-0.024821,1.199402,0.000000,-1.000000,-0.517183,-0.185244,1.064608
55.060,0.416831,0.244616,0.218061,0.272429,0.591087,0.982572,1.312782,1.304381,1.336125,0.718574,0.549029,0.576432,-0.405516,-0.024724,1.179973,0.000000,-1.000000,-0.517183,-0.185248,1.046609
55.080,0.407744,0.223241,0.219929,0.282217,0.627748,0.985582,1.326438,1.322569,1.350335,0.713566,0.534391,0.559859,-0.405557,-0.024820,1.160544,0.000000,-1.000000,-0.517183,-0.185251,1.028607
55.100,0.397719,0.236008,0.225564,0.266911,0.649013,0.991748,1.352923,1.310347,1.352585,0.708555,0.544686,0.539765,-0.405557,-0.024820,1.139820,0.000000,-1.000000,-0.517183,-0.185255,1.010603
55.120,0.386545,0.244070,0.216785,0.284574,0.691688,0.996200,1.380031,1.303631,1.362327,0.678213,0.543023,0.501277,-0.405557,-0.024820,1.119096,0.000000,-1.000000,-0.517182,-0.185258,0.992599
55.140,0.373792,0.223215,0.222222,0.280654,0.721602,0.995640,1.409491,1.310818,1.365821,0.687731,0.541944,0.475948,-0.405511,-0.024727,1.099667,0.000000,-1.000000,-0.517182,-0.185261,0.974595
